career_goal,personality_min_gpa,min_budget,max_budget,learning_style,recommended_course,country,university
AI Research,8.5,5000,15000,Visual,MS in AI,USA,MIT
Data Scientist,8.0,4000,12000,Visual,MSc in Data Science,Germany,TU Munich
Business Analyst,7.0,3000,10000,Auditory,MBA,India,IIM Bangalore
Software Dev,7.5,4000,9000,Kinesthetic,MS in CS,Canada,University of Toronto
Machine Learning,8.0,5000,15000,Visual,PG in ML,France,INRIA
Product Design,7.5,3000,10000,Visual,M.Des,Italy,Istituto Europeo di Design
Cybersecurity,7.0,5000,12000,Auditory,MSc in Cybersecurity,USA,Carnegie Mellon
Finance,7.5,4000,13000,Kinesthetic,MBA Finance,UK,London School of Economics
Human Psychology,7.0,2000,8000,Auditory,MA in Psychology,India,Delhi University
Game Development,8.0,6000,15000,Visual,MSc Game Dev,Canada,UBC
Web Development,6.5,2000,7000,Kinesthetic,Full Stack Bootcamp,Germany,Le Wagon
Biotech Research,8.0,5000,12000,Visual,MS in Biotechnology,Netherlands,Wageningen University
Entrepreneurship,7.0,3000,10000,Auditory,MBA Startup Focus,USA,Babson College
Marketing,6.5,2000,9000,Auditory,MSc Marketing,Australia,University of Melbourne
Data Engineering,7.8,4000,11000,Visual,MSc Data Engineering,Sweden,KTH Royal Institute
